artist,name,year,decade,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo
The Beatles,Let it Be,1970,70s,29.646,22,1,3,0.403,0,0.41,143.462
Mungo Jerry,In the Summertime,1970,70s,26.412,46,2,9,0.449,0,0.973,82.751
Shocking Blue,Venus,1970,70s,22.584,112,3,19,0.762,0.0286,0.957,128.111
Simon & Garfunkel,Bridge Over Troubled Water,1970,70s,21.501,141,4,24,0.206,0.000649,0.264,79.764
B J Thomas,Raindrops Keep Falling On My Head,1970,70s,16.806,340,5,48,0.446,0.000124,0.654,104.962
Norman Greenbaum,Spirit in the Sky,1970,70s,15.768,399,6,54,0.617,0.00404,0.543,128.903
Led Zeppelin,Whole Lotta Love,1970,70s,15.244,445,7,64,0.902,0.131,0.422,89.74
The Kinks,Lola,1970,70s,14.991,457,8,68,0.917,0.231,0.902,152.113
Creedence Clearwater Revival,Up Around the Bend,1970,70s,14.543,511,9,77,0.85,0.779,0.813,130.318
Christie,Yellow River,1970,70s,14.337,526,10,79,0.544,0,0.877,129.851
George Harrison,My Sweet Lord,1971,70s,30.511,19,1,2,0.763,0,0.557,121.053
John Lennon,Imagine,1971,70s,26.981,40,2,6,0.257,0.183,0.169,75.752
Rod Stewart,Maggie May,1971,70s,19.868,178,3,28,0.574,0.113,0.543,129.449
Lynn Anderson,I Beg Your Pardon (I Never Promised You a Rose Garden),1971,70s,18.929,226,4,33,0.419,0.000106,0.406,94.973
Three Dog Night,Joy to the World,1971,70s,15.83,390,5,52,0.679,0.00121,0.971,126.867
The Rolling Stones,Brown Sugar,1971,70s,15.491,424,6,56,0.934,0.00021,0.963,128.606
Isaac Hayes,Theme From 'Shaft',1971,70s,14.918,463,7,69,0.706,0.000192,0.859,120.355
Tom Jones,She's a Lady,1971,70s,14.9,467,8,71,0.876,0,0.624,119.702
Tony Orlando & Dawn,Knock Three Times,1971,70s,14.194,544,9,85,0.58,0,0.923,123.127
Carole King,It's Too Late,1971,70s,13.74,601,10,97,0.441,0.00562,0.811,208.282
Don McLean,American Pie,1972,70s,21.509,140,1,23,0.481,0,0.491,138.45
Harry Nilsson,Without You,1972,70s,17.472,302,2,39,0.185,2.89E-06,0.145,64.933
Hot Butter,Popcorn,1972,70s,15.283,442,3,63,0.626,0.703,0.952,136.886
Daniel Boone,Beautiful Sunday,1972,70s,15.212,449,4,66,0.463,0,0.91,121.923
Neil Young,Heart of Gold,1972,70s,14.419,519,5,78,0.459,0.0274,0.803,171.165
The Moody Blues,Nights in White Satin,1972,70s,14.183,546,6,86,0.483,0.497,0.173,84.71
Roberta Flack,The First Time Ever I Saw Your Face,1972,70s,14.087,557,7,89,0.0264,0.00205,0.139,120.653
Al Green,Let's Stay Together,1972,70s,13.226,664,8,,0.397,0.0115,0.507,101.985
Donny Osmond,Puppy Love,1972,70s,13.165,675,9,,0.681,7.98E-06,0.538,102.338
Gilbert O'Sullivan,Alone Again (Naturally),1972,70s,12.743,737,10,,0.464,0.000133,0.559,171.762
The Rolling Stones,Angie,1973,70s,24.217,77,1,13,0.554,0.000152,0.407,136.302
Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree,1973,70s,23.339,94,2,17,0.615,0,0.68,87.601
Roberta Flack,Killing Me Softly With His Song,1973,70s,19.286,213,3,31,0.381,0,0.329,121.568
Carly Simon,You're So Vain,1973,70s,18.481,252,4,35,0.678,6.69E-06,0.647,106.186
Elton John,Crocodile Rock,1973,70s,18.256,266,5,37,0.8,1.51E-05,0.968,149.91
Lobo,I'd Love You to Want Me,1973,70s,15.335,438,6,60,0.543,0.000123,0.44,77.507
The Sweet,The Ballroom Blitz,1973,70s,15.08,452,7,67,0.799,0.00154,0.889,108.381
Elton John,Goodbye Yellow Brick Road,1973,70s,13.856,585,8,93,0.473,0.00141,0.397,121.227
Stevie Wonder,Superstition,1973,70s,13.668,611,9,100,0.634,0.0064,0.872,100.499
Gilbert O'Sullivan,Get Down,1973,70s,12.958,702,10,,0.888,8.39E-06,0.919,124.659
Carl Douglas,Kung Fu Fighting,1974,70s,24.942,68,1,11,0.673,6.84E-05,0.59,102.035
Terry Jacks,Seasons in the Sun,1974,70s,24.431,73,2,12,0.611,0,0.821,98.949
George McCrae,Rock Your Baby,1974,70s,20.626,160,3,26,0.906,0.00122,0.892,104.411
Abba,Waterloo,1974,70s,19.855,179,4,29,0.926,3.38E-06,0.779,147.564
Bachman-Turner Overdrive,You Ain't Seen Nothin' Yet,1974,70s,15.763,400,5,55,0.439,0.000277,0.76,118.392
Barbra Streisand,The Way We Were,1974,70s,14.711,490,6,73,0.32,0.00141,0.171,138.108
Steve Miller Band,The Joker,1974,70s,14.006,565,7,90,0.448,5.30E-06,0.796,83.293
The Hollies,The Air That I Breathe,1974,70s,12.936,708,8,,0.473,0.00164,0.246,167.792
Wings,Band On the Run,1974,70s,12.624,757,9,,0.557,0.00137,0.634,124.994
The Rubettes,Sugar Baby Love,1974,70s,12.606,758,10,,0.768,0.0181,0.791,129.694
Billy Swan,I Can Help,1975,70s,16.863,336,1,46,0.675,0.019,0.53,125.313
Abba,SOS,1975,70s,16.062,378,2,51,0.698,0.00364,0.561,124.867
10cc,I'm Not in Love,1975,70s,15.805,393,3,53,0.523,0.000498,0.164,133.738
Captain & Tennille,Love Will Keep Us Together,1975,70s,15.323,440,4,61,0.788,0,0.926,129.62
Patti LaBelle,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),1975,70s,14.18,547,5,87,0.654,0.551,0.947,117.955
The Sweet,Fox On the Run,1975,70s,13.961,569,6,91,0.644,6.17E-05,0.828,128.067
George Baker Selection,Una Paloma Blanca,1975,70s,13.42,638,7,,0.712,5.35E-05,0.943,132.801
Carpenters,Please Mr Postman,1975,70s,12.798,724,8,,0.547,1.79E-06,0.964,132.943
Silver Convention,Fly Robin Fly,1975,70s,12.665,747,9,,0.406,0.731,0.939,100.278
Glen Campbell,Rhinestone Cowboy,1975,70s,12.507,770,10,,0.633,6.82E-05,0.647,115.191
Abba,Dancing Queen,1976,70s,28.475,29,1,4,0.884,0.00166,0.752,100.812
Queen,Bohemian Rhapsody,1976,70s,26.687,42,2,7,0.402,0,0.228,143.883
Chicago,If You Leave Me Now,1976,70s,22.065,127,3,20,0.564,0.000828,0.276,104.212
Elton John & Kiki Dee,Don't Go Breaking My Heart,1976,70s,21.605,135,4,22,0.863,5.59E-06,0.776,131.196
Abba,Fernando,1976,70s,19.786,185,5,30,0.526,2.17E-06,0.467,110.517
The Four Seasons,December 1963 (Oh What a Night),1976,70s,15.483,425,6,57,0.495,9.12E-06,0.967,104.409
Rod Stewart,Tonight's the Night (Gonna Be Alright),1976,70s,15.443,428,7,58,0.514,0.125,0.724,136.542
The Manhattans,Kiss & Say Goodbye,1976,70s,15.412,433,8,59,0.42,0,0.583,129.084
Wings,Silly Love Songs,1976,70s,14.673,493,9,74,0.335,0.244,0.818,125.11
Bellamy Brothers,Let Your Love Flow,1976,70s,13.838,589,10,94,0.553,7.16E-06,0.946,109.071
Eagles,Hotel California,1977,70s,23.505,91,1,15,0.508,0.000494,0.609,147.125
