artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,70s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,80s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,90s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,00's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,10's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo
The Beatles,Let it Be,1970,29.646,22,1,3,0.403,0,0.41,143.462,,,Bee Gees,Stayin' Alive,1978,32.283,11,1,1,0.826,0.00629,0.945,103.564,,,,Pink Floyd,Another Brick in the Wall (part 2),1980,33.829,8,1,1,0.394,0.000677,0.719,104.126,,,,Bryan Adams,(Everything I Do) I Do it For You,1991,38.357,2,1,1,0.365,1.35E-05,0.253,131.253,,,,Usher,Yeah!,2004,31.263,13,1,1,0.791,0,0.583,105.018,,,,Ke$ha,Tik-Toc,2010,22.175,125,1,2,0.837,0,0.714,120.028
Mungo Jerry,In the Summertime,1970,26.412,46,2,9,0.449,0,0.973,82.751,,,George Harrison,My Sweet Lord,1971,30.511,19,1,2,0.763,0,0.557,121.053,,,,Irene Cara,Flashdance... What a Feeling,1983,32.698,9,1,2,0.654,3.21E-06,0.399,122.491,,,,Whitney Houston,I Will Always Love You,1992,37.946,3,1,2,0.214,5.30E-06,0.108,66.98,,,,Lady GaGa,Poker Face,2009,30.835,16,1,2,0.806,1.33E-06,0.776,119.001,,,,Eminem & Rihanna,Love The Way You Lie,2010,18.577,246,2,5,0.925,0,0.641,86.989
Shocking Blue,Venus,1970,22.584,112,3,19,0.762,0.0286,0.957,128.111,,,The Beatles,Let it Be,1970,29.646,22,1,3,0.403,0,0.41,143.462,,,,Kim Carnes,Bette Davis Eyes,1981,31.333,12,1,3,0.649,0,0.596,116.624,,,,Celine Dion,My Heart Will Go On,1998,37.126,5,1,3,0.276,0.00000533,0.0382,99.195,,,,Eminem,Lose Yourself,2002,30.831,17,1,3,0.744,0.000423,0.0612,171.374,,,,Bruno Mars,Just the Way You Are,2010,16.521,354,3,7,0.843,0,0.434,109.012
Simon & Garfunkel,Bridge Over Troubled Water,1970,21.501,141,4,24,0.206,0.000649,0.264,79.764,,,Abba,Dancing Queen,1976,28.475,29,1,4,0.884,0.00166,0.752,100.812,,,,The Police,Every Breath You Take,1983,30.769,18,2,4,0.452,0.00294,0.74,117.401,,,,Sinead O'Connor,Nothing Compares 2 U,1990,34.546,7,1,4,0.574,0.0000233,0.161,119.917,,,,Rihanna & Jay-Z,Umbrella,2007,29.576,23,1,4,0.829,0,0.575,174.028,,,,Katy Perry,Firework,2010,15.795,396,4,8,0.826,0,0.649,124.072
B J Thomas,Raindrops Keep Falling On My Head,1970,16.806,340,5,48,0.446,0.000124,0.654,104.962,,,John Travolta & Olivia Newton-John,You're the One That I Want,1978,27.364,37,2,5,0.612,0.00288,0.822,106.945,,,,Michael Jackson,Billie Jean,1983,28.886,27,3,5,0.654,0.0158,0.847,117.046,,,,Elton John,Candle in the Wind '97,1997,32.366,10,1,5,0.224,0,0.484,125.526,,,,Leona Lewis,Bleeding Love,2008,29.319,24,1,5,0.656,0,0.225,104.036,,,,Katy Perry & Snoop Dogg,California Gurls,2010,15.436,429,5,10,0.753,0,0.403,125.005
Norman Greenbaum,Spirit in the Sky,1970,15.768,399,6,54,0.617,0.00404,0.543,128.903,,,John Lennon,Imagine,1971,26.981,40,2,6,0.257,0.183,0.169,75.752,,,,Stevie Wonder,I Just Called to Say I Love You,1984,27.764,34,1,6,0.551,1.57E-06,0.65,113.535,,,,Cher,Believe,1998,31.229,14,2,6,0.917,0,0.459,132.975,,,,The Black Eyed Peas,I Gotta Feeling,2009,27.967,32,2,6,0.766,0,0.61,127.96,,,,Rihanna,Only girl (in the world),2010,15.244,446,6,12,0.716,1.72E-05,0.595,125.921
Led Zeppelin,Whole Lotta Love,1970,15.244,445,7,64,0.902,0.131,0.422,89.74,,,Queen,Bohemian Rhapsody,1976,26.687,42,2,7,0.402,0,0.228,143.883,,,,USA For Africa,We Are the World,1985,27.724,35,1,7,0.447,0,0.292,72.58,,,,Coolio,Gangsta's Paradise,1995,31.033,15,1,7,0.514,0,0.387,79.974,,,,Eminem,Without Me,2002,26.818,41,2,7,0.669,0,0.662,112.238,,,,Taio Cruz,Dynamite,2010,14.933,460,7,14,0.804,0,0.818,119.968
The Kinks,Lola,1970,14.991,457,8,68,0.917,0.231,0.902,152.113,,,The Village People,YMCA,1978,26.56,44,3,8,0.951,0,0.671,126.643,,,,George Michael,Careless Whisper,1984,27.047,39,2,8,0.319,2.63E-06,0.526,76.58,,,,P Diddy & Faith Evans,I'll Be Missing You,1997,29.039,26,2,8,0.479,0.00126,0.925,109.878,,,,Shakira & Wyclef Jean,Hips don't lie,2006,26.066,51,1,8,0.824,0,0.756,100.024,,,,Owl City,Fireflies,2010,14.295,532,8,16,0.661,0,0.461,180.118
Creedence Clearwater Revival,Up Around the Bend,1970,14.543,511,9,77,0.85,0.779,0.813,130.318,,,Mungo Jerry,In the Summertime,1970,26.412,46,2,9,0.449,0,0.973,82.751,,,,Survivor,Eye of the Tiger,1982,26.517,45,1,9,0.599,0.000311,0.548,108.873,,,,Britney Spears,Baby One More Time,1999,28.32,31,1,9,0.699,0.000131,0.907,92.96,,,,Kylie Minogue,Can't Get You Out of My Head,2001,25.843,52,1,9,0.578,5.49E-06,0.459,137.013,,,,The Black Eyed Peas,The Time (Dirty Bit),2010,13.659,613,9,18,0.813,2.77E-06,0.436,127.979
Christie,Yellow River,1970,14.337,526,10,79,0.544,0,0.877,129.851,,,Blondie,Heart of Glass,1979,25.578,57,1,10,0.577,0.00836,0.845,114.478,,,,Madonna,Like a Prayer,1989,25.841,53,1,10,0.842,2.11E-05,0.257,111.037,,,,Spice Girls,Wannabe,1996,27.958,33,1,10,0.864,0,0.891,110.008,,,,OutKast,Hey Ya!,2003,25.767,55,1,10,0.974,0.000532,0.965,79.526,,,,Katy Perry,Teenage Dream,2010,12.851,721,10,20,0.804,3.02E-06,0.605,119.999
George Harrison,My Sweet Lord,1971,30.511,19,1,2,0.763,0,0.557,121.053,,,Carl Douglas,Kung Fu Fighting,1974,24.942,68,1,11,0.673,6.84E-05,0.59,102.035,,,,Barbra Streisand,A Woman in Love,1980,25.821,54,2,11,0.245,1.46E-05,0.333,169.747,,,,Hanson,Mmmbop,1997,27.666,36,3,11,0.937,0.0046,0.619,104.872,,,,50 Cent,In Da Club,2003,25.628,56,2,11,0.72,0,0.805,90.059,,,,Rihanna & Calvin Harris,We Found Love,2011,22.418,119,1,1,0.766,0.00138,0.6,127.986
